launch_time,clear_sky
07-09-24 1:05,True
07-09-24 10:50,True
07-09-24 17:02,True
07-09-24 22:50,True
08-09-24 4:50,True
08-09-24 10:54,False
08-09-24 16:49,False
08-09-24 22:43,False
09-09-24 4:48,False
09-09-24 10:47,False
09-09-24 16:48,False
09-09-24 22:56,False
10-09-24 4:47,True
10-09-24 10:50,True
10-09-24 16:48,True
10-09-24 22:48,True
11-09-24 4:51,True
11-09-24 10:48,True
11-09-24 16:50,True
11-09-24 22:48,True
12-09-24 4:47,True
12-09-24 7:49,True
12-09-24 10:48,True
12-09-24 13:47,True
12-09-24 16:46,True
12-09-24 19:49,True
12-09-24 22:49,True
13-09-24 1:46,True
13-09-24 5:00,True
13-09-24 10:48,True
13-09-24 13:49,True
13-09-24 16:49,True
13-09-24 22:52,True
14-09-24 1:50,True
14-09-24 4:53,True
14-09-24 7:48,True
14-09-24 10:53,True
14-09-24 14:02,True
14-09-24 16:50,False
14-09-24 19:53,False
14-09-24 22:52,False
15-09-24 1:49,False
15-09-24 4:48,True
15-09-24 10:48,False
15-09-24 13:50,False
15-09-24 16:49,False
15-09-24 22:49,False
15-09-24 23:12,False
16-09-24 1:48,True
16-09-24 4:47,False
16-09-24 7:49,True
16-09-24 10:48,True
16-09-24 13:49,True
16-09-24 16:50,True
16-09-24 19:48,False
16-09-24 22:53,True
17-09-24 1:49,True
17-09-24 5:20,False
17-09-24 10:57,False
17-09-24 13:51,False
17-09-24 16:50,False
17-09-24 22:49,False
18-09-24 1:49,False
18-09-24 4:49,False
18-09-24 10:50,False
18-09-24 13:50,True
18-09-24 16:55,True
18-09-24 23:26,False
19-09-24 1:50,False
19-09-24 4:55,False
19-09-24 8:43,False
19-09-24 10:49,True
19-09-24 13:59,False
19-09-24 16:51,False
19-09-24 19:50,False
19-09-24 23:05,False
20-09-24 1:49,False
20-09-24 4:48,True
20-09-24 10:50,True
20-09-24 14:08,True
20-09-24 16:49,True
20-09-24 22:49,False
21-09-24 1:50,False
21-09-24 4:57,False
21-09-24 7:50,False
21-09-24 10:49,False
21-09-24 13:48,False
21-09-24 16:49,False
21-09-24 19:50,False
21-09-24 22:50,False
22-09-24 1:50,False
22-09-24 4:50,False
22-09-24 10:49,True
22-09-24 14:04,True
22-09-24 16:50,True
22-09-24 19:49,True
22-09-24 22:50,False
23-09-24 2:01,False
23-09-24 4:50,False
23-09-24 7:48,False
23-09-24 10:50,False
23-09-24 13:50,False
23-09-24 16:49,True
23-09-24 20:57,False
23-09-24 22:52,False
24-09-24 1:53,False
24-09-24 4:49,False
24-09-24 8:02,False
24-09-24 10:49,False
24-09-24 13:50,False
24-09-24 16:50,False
24-09-24 19:50,False
24-09-24 22:47,False
25-09-24 1:50,False
25-09-24 4:49,False
25-09-24 10:48,False
25-09-24 13:53,False
25-09-24 16:49,False
25-09-24 19:49,False
26-09-24 1:49,False
26-09-24 4:50,False
26-09-24 7:53,False
26-09-24 10:53,False
26-09-24 14:01,False
26-09-24 16:50,False
26-09-24 19:51,False
26-09-24 22:50,False
27-09-24 1:50,False
27-09-24 4:49,False
27-09-24 10:51,True
27-09-24 13:50,True
27-09-24 16:50,True
27-09-24 22:50,False
28-09-24 1:50,False
28-09-24 4:50,False
28-09-24 7:51,False
28-09-24 10:50,True
28-09-24 13:49,True
28-09-24 17:03,False
28-09-24 19:57,False
29-09-24 1:51,False
